breakdown,category,value
country,DE,2
country,BE,1
country,UY,1
country,PT,2
country,IN,1
country,CH,1
country,CL,8
country,MX,1
country,DO,1
country,IT,4
country,CO,4
country,FR,5
country,ES,637
country,BR,5
country,AR,14
country,CU,2
country,PE,2
country,LB,1
country,CZ,1
country,SK,1
country,GB,2
country,CA,1
