"window_start";"window_end";"metric";"value"
"2025-04-21";"2025-05-21";"saves";"0"
"2025-04-21";"2025-05-21";"replies";"0"
"2025-04-21";"2025-05-21";"follows_and_unfollows";""
"2025-05-21";"2025-06-20";"website_clicks";"4"
"2025-05-21";"2025-06-20";"profile_views";"49"
"2025-05-21";"2025-06-20";"accounts_engaged";"0"
"2025-05-21";"2025-06-20";"total_interactions";"0"
"2025-05-21";"2025-06-20";"likes";"0"
"2025-05-21";"2025-06-20";"comments";"0"
"2025-05-21";"2025-06-20";"shares";"0"
"2025-05-21";"2025-06-20";"saves";"0"
"2025-05-21";"2025-06-20";"replies";"0"
"2025-05-21";"2025-06-20";"follows_and_unfollows";""
"2025-06-20";"2025-07-20";"website_clicks";"1"
"2025-06-20";"2025-07-20";"profile_views";"46"
"2025-06-20";"2025-07-20";"accounts_engaged";"0"
"2025-06-20";"2025-07-20";"total_interactions";"0"
"2025-06-20";"2025-07-20";"likes";"0"
"2025-06-20";"2025-07-20";"comments";"0"
"2025-06-20";"2025-07-20";"shares";"0"
"2025-06-20";"2025-07-20";"saves";"0"
"2025-06-20";"2025-07-20";"replies";"0"
"2025-06-20";"2025-07-20";"follows_and_unfollows";""
"2025-07-20";"2025-08-19";"website_clicks";"1"
"2025-07-20";"2025-08-19";"profile_views";"15"
"2025-07-20";"2025-08-19";"accounts_engaged";"0"
"2025-07-20";"2025-08-19";"total_interactions";"0"
"2025-07-20";"2025-08-19";"likes";"0"
"2025-07-20";"2025-08-19";"comments";"0"
"2025-07-20";"2025-08-19";"shares";"0"
"2025-07-20";"2025-08-19";"saves";"0"
"2025-07-20";"2025-08-19";"replies";"0"
"2025-07-20";"2025-08-19";"follows_and_unfollows";""
"2025-08-19";"2025-09-18";"website_clicks";"0"
"2025-08-19";"2025-09-18";"profile_views";"20"
"2025-08-19";"2025-09-18";"accounts_engaged";"1"
"2025-08-19";"2025-09-18";"total_interactions";"1"
"2025-08-19";"2025-09-18";"likes";"1"
"2025-08-19";"2025-09-18";"comments";"0"
"2025-08-19";"2025-09-18";"shares";"0"
"2025-08-19";"2025-09-18";"saves";"0"
"2025-08-19";"2025-09-18";"replies";"0"
"2025-08-19";"2025-09-18";"follows_and_unfollows";""
"2025-09-18";"2025-10-18";"website_clicks";"11"
"2025-09-18";"2025-10-18";"profile_views";"96"
"2025-09-18";"2025-10-18";"accounts_engaged";"54"
"2025-09-18";"2025-10-18";"total_interactions";"72"
"2025-09-18";"2025-10-18";"likes";"44"
"2025-09-18";"2025-10-18";"comments";"2"
"2025-09-18";"2025-10-18";"shares";"11"
"2025-09-18";"2025-10-18";"saves";"4"
"2025-09-18";"2025-10-18";"replies";"0"
"2025-09-18";"2025-10-18";"follows_and_unfollows";""
"2025-10-18";"2025-11-17";"website_clicks";"9"
"2025-10-18";"2025-11-17";"profile_views";"76"
"2025-10-18";"2025-11-17";"accounts_engaged";"29"
