"dimension";"category";"total_followers"
"género";"F";"333"
"género";"M";"196"
"género";"U";"168"
"edad";"18-24";"26"
"edad";"25-34";"203"
"edad";"35-44";"222"
"edad";"45-54";"173"
"edad";"55-64";"50"
"edad";"65+";"23"
